"citizenship"
"Afghan"
"Albanian"
"of Antartica"
"Algerian"
"American Samoan"
"Andorran"
"Angolan"
"of Antigua and Barbuda"
"Azerbaijani"
"Argentinian"
"Australian"
"Austrian"
"Bahamian"
"Bahraini"
"Bangladeshi"
"Armenian"
"Barbadian"
"Belgian"
"Bermudian"
"Bhutanese"
"Bolivian"
"of Bosnia and Herzegovina"
"Botswanan"
"of Bouvet island"
"Brazilian"
"Belizean"
"Changosian"
"Solomon Islander"
"British Virgin Islander;"
"Bruneian"
"Bulgarian"
"Burmese"
"Burundian"
"Belarusian"
"Cambodian"
"Cameroonian"
"Canadian"
"Cape Verdean"
"Caymanian"
"Central African"
"Sri Lankan"
"Chadian"
"Chilean"
"Chinese"
"Taiwanese"
"Christmas Islander"
"Cocos Islander"
"Colombian"
"Comorian"
"Mahorais"
"Congolese"
"Congolese"
"Cook Islander"
"Costa Rican"
"Croatian"
"Cuban"
"Cypriot"
"Czech"
"Beninese"
"Danish"
"Dominican"
"Dominican"
"Ecuadorian"
"Salvadoran"
"Equatorial Guinean"
"Ethiopian"
"Eritrean"
"Estonian"
"Faeroese"
"Falkland Islander"
"of South Georgia and the South Sandwich Islands"
"Fijian"
"Finnish"
"Åland Islander"
"French"
"Guianese"
"Polynesian"
"of French Southern and Antarctic Lands"
"Djiboutian"
"Gabonese"
"Georgian"
"Gambian"
"Palestinian"
"German"
"Ghanaian"
"Gibraltarian"
"Kiribatian"
"Greek"
"Greenlander"
"Grenadian"
"Guadeloupean"
"Guamanian"
"Guatemalan"
"Guinean"
"Guyanese"
"Haitian"
"of Territory of Heard Island and McDonald Islands"
"of the Holy See/of the Vatican"
"Honduran"
"Hong Kong Chinese"
"Hungarian"
"Icelander"
"Indian"
"Indonesian"
"Iranian"
"Iraqi"
"Irish"
"Israeli"
"Italian"
"Ivorian"
"Jamaican"
"Japanese"
"Kazakh"
"Jordanian"
"Kenyan"
"North Korean"
"South Korean"
"Kuwaiti"
"Kyrgyz"
"Lao"
"Lebanese"
"Basotho"
"Latvian"
"Liberian"
"Libyan"
"Liechtensteiner"
"Lithuanian"
"Luxembourger"
"Macanese"
"Malagasy"
"Malawian"
"Malaysian"
"Maldivian"
"Malian"
"Maltese"
"Martinican"
"Mauritanian"
"Mauritian"
"Mexican"
"Monegasque"
"Mongolian"
"Moldovan"
"Montenegrin"
"Montserratian"
"Moroccan"
"Mozambican"
"Omani"
"Namibian"
"Nauruan"
"Nepalese"
"Dutch"
"Curaçaoan"
"Aruban"
"Sint Maartener"
"of Bonaire, Sint Eustatius and Saba"
"New Caledonian"
"Vanuatuan"
"New Zealander"
"Nicaraguan"
"Nigerien"
"Nigerian"
"Niuean"
"Norfolk Islander"
"Norwegian"
"Northern Mariana Islander"
"of United States Minor Outlying Islands"
"Micronesian"
"Marshallese"
"Palauan"
"Pakistani"
"Panamanian"
"Papua New Guinean"
"Paraguayan"
"Peruvian"
"Filipino"
"Pitcairner"
"Polish"
"Portuguese"
"Guinea-Bissau national"
"East Timorese"
"Puerto Rican"
"Qatari"
"Reunionese"
"Romanian"
"Russian"
"Rwandan; Rwandese"
"of Saint Barthélemy"
"Saint Helenian"
"Kittsian; Nevisian"
"Anguillan"
"Saint Lucian"
"of Saint Martin"
"St-Pierrais; Miquelonnais"
"Vincentian"
"San Marinese"
"São Toméan"
"Saudi Arabian"
"Senegalese"
"Serb"
"Seychellois"
"Sierra Leonean"
"Singaporean"
"Slovak"
"Vietnamese"
"Slovene"
"Somali"
"South African"
"Zimbabwean"
"Spaniard"
"South Sudanese"
"Sudanese"
"Sahrawi"
"Surinamese"
"of Svalbard"
"Swazi"
"Swedish"
"Swiss"
"Syrian"
"Tajik"
"Thai"
"Togolese"
"Tokelauan"
"Tongan"
"Trinidadian; Tobagonian"
"Emirian"
"Tunisian"
"Turk"
"Turkmen"
"Turks and Caicos Islander"
"Tuvaluan"
"Ugandan"
"Ukrainian"
"of the former Yugoslav Republic of Macedonia"
"Egyptian"
"British"
"of Guernsey"
"of Jersey"
"Manxman; Manxwoman"
"Tanzanian"
"American"
"US Virgin Islander"
"Burkinabe"
"Uruguayan"
"Uzbek"
"Venezuelan"
"Wallisian; Futunan; Wallis and Futuna Islander"
"Samoan"
"Yemenite"
"Zambian"
